S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#term len 0
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#show logg
S-Cat6880X-01#show logging 
Load for five secs: 5%/1%; one minute: 6%; five minutes: 6%
Time source is NTP, 21:43:54.916 JST Sun Jan 10 2016

Syslog logging: enabled (0 messages dropped, 103 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 2474 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 1627 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 2377 messages logged, xml disabled,
Sep  6 02:06:53.547: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet1/1/5, changed state to administratively down
Sep  6 02:06:57.604: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet1/1/6, changed state to administratively down
Sep  6 02:07:15.933: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet2/1/1, changed state to administratively down
Sep  6 02:07:19.989: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet2/1/2, changed state to administratively down
Sep  6 02:07:24.045: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet2/1/5, changed state to administratively down
Sep  6 02:07:28.102: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet2/1/6, changed state to administratively down
Sep  6 02:07:58.312: %LINK-SW1-5-CHANGED: Interface Port-channel101, changed state to administratively down
Sep  6 02:07:58.608: %LINK-SW1-5-CHANGED: Interface Port-channel102, changed state to administratively down
Sep  6 02:07:58.920: %LINK-SW1-5-CHANGED: Interface Port-channel105, changed state to administratively down
Sep  6 02:09:14.869: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep  6 02:16:29.508: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep 18 18:09:58.851: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (172.28.2.1)
Sep 23 06:57:06.094: %EARL_CM-SW2_DFC2-5-CL_TCAM1_ERROR: CL TCAM parity error occurred. Count is 1
Sep 26 22:08:17.687: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to up
Sep 26 22:08:22.739: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 26 22:08:22.739: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from disabled to blocking
Sep 26 22:08:22.743: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to up
Sep 26 22:08:22.763: %LINK-SW1-3-UPDOWN: Interface Port-channel110, changed state to up
Sep 26 22:08:22.767: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel110, changed state to up
Sep 26 22:08:22.737: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 26 22:08:23.743: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from blocking to forwarding
Sep 26 22:08:23.755: %LINK-SW1-3-UPDOWN: Interface Vlan103, changed state to up
Sep 26 22:08:23.759: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan103, changed state to up
Sep 26 22:08:33.131: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep 26 22:08:33.327: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan103 from LOADING to FULL, Loading Done
Sep 26 22:08:38.464: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 26 22:08:38.472: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep 26 22:08:38.485: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 26 22:09:20.146: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to up
Sep 26 22:09:24.671: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 26 22:09:24.675: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to up
Sep 26 22:09:24.689: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 26 22:09:35.991: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to up
Sep 26 22:09:40.656: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 26 22:09:40.660: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to up
Sep 26 22:09:40.673: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 26 22:10:45.100: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep 26 22:10:46.992: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 26 22:10:46.992: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from disabled to blocking
Sep 26 22:10:46.996: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep 26 22:10:47.004: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to up
Sep 26 22:10:47.008: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to up
Sep 26 22:10:46.997: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 26 22:10:47.996: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Sep 26 22:10:48.008: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Sep 26 22:10:48.012: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Sep 26 22:10:54.793: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 26 22:10:56.613: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 26 22:10:56.617: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 26 22:10:57.173: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Sep 26 22:10:56.632: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 26 22:11:30.267: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 26 22:11:33.095: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 26 22:11:33.099: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 26 22:11:33.112: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 26 22:11:34.935: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep 26 22:11:36.867: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 26 22:11:36.871: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep 26 22:11:36.884: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 00:01:51.196: %SYS-SW1-5-CONFIG_I: Configured from console by vty1 (10.129.248.21)
Sep 27 00:06:01.252: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:06:01.256: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:06:01.264: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:06:01.251: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:06:08.140: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:06:08.144: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:06:08.152: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:06:08.139: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:06:13.624: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 00:06:13.628: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:06:13.636: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:06:13.623: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 00:08:45.442: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:08:48.302: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:08:48.306: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:08:48.315: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:10:12.268: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:10:12.268: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:10:12.280: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:10:12.262: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:10:45.330: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:10:47.162: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:10:47.166: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:10:47.174: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:12:11.799: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:12:11.803: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:12:11.811: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:12:11.798: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:13:36.937: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 00:13:38.821: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 00:13:38.825: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 00:13:38.838: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 00:15:05.302: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:15:05.306: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:15:05.314: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:15:05.302: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:15:51.365: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 00:15:53.161: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 00:15:53.165: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 00:15:53.178: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 00:16:08.206: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:16:09.950: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:16:11.810: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:16:11.814: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:16:11.830: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:16:11.834: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:16:11.829: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:16:11.849: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:20:16.758: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:20:16.762: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:20:16.770: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:20:17.318: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:20:17.322: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:20:17.330: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:20:16.753: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:20:17.313: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:20:17.874: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:20:17.878: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:20:17.886: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:20:18.430: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to disabled
Sep 27 00:20:18.430: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 00:20:18.438: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:20:18.438: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to down
Sep 27 00:20:18.442: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Sep 27 00:20:18.442: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to down
Sep 27 00:20:18.442: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep 27 00:20:18.442: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:20:18.446: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Sep 27 00:20:17.869: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:20:18.429: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 00:23:57.799: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 00:23:58.247: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:23:59.275: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:23:59.427: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 00:23:59.679: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 00:23:59.679: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from disabled to blocking
Sep 27 00:23:59.683: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 00:23:59.695: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to up
Sep 27 00:23:59.699: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to up
Sep 27 00:23:59.675: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 00:24:00.683: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Sep 27 00:24:00.699: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Sep 27 00:24:00.703: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Sep 27 00:24:01.063: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:24:01.067: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 00:24:01.164: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:24:01.168: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 00:24:01.075: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 00:24:01.159: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 00:24:02.204: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 00:24:02.208: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 00:24:02.235: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 00:24:10.140: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Sep 27 00:26:58.430: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:26:58.434: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:26:58.442: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 00:26:58.990: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:26:58.994: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:26:59.002: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 00:26:58.434: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep 27 00:26:58.994: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep 27 00:26:59.550: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:26:59.550: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:26:59.562: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 00:27:00.110: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to disabled
Sep 27 00:27:00.110: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 00:27:00.114: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:27:00.114: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to down
Sep 27 00:27:00.122: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Sep 27 00:27:00.122: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to down
Sep 27 00:27:00.122: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep 27 00:27:00.122: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 00:27:00.126: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Sep 27 00:26:59.550: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep 27 00:27:00.110: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep 27 01:03:12.981: %SYS-SW1-5-CONFIG_I: Configured from console by vty1 (10.240.254.3)
Sep 27 01:13:40.158: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:13:40.162: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:13:40.174: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:13:40.155: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:13:48.959: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:13:48.963: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:13:48.971: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:13:48.955: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:13:58.803: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:13:58.807: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:13:58.815: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:13:58.803: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:16:24.481: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:16:29.685: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:16:29.689: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:16:29.703: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:18:43.298: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep 27 01:18:43.302: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to down
Sep 27 01:18:43.310: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to down
Sep 27 01:18:43.295: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep 27 01:20:17.112: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:20:22.489: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:20:22.493: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:20:22.503: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:21:59.759: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:21:59.763: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:21:59.771: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:21:59.755: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:24:17.540: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:24:22.473: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:24:22.477: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:24:22.487: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:26:16.160: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:26:16.164: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:26:16.172: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:26:16.163: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:28:01.847: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to up
Sep 27 01:28:06.571: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 27 01:28:06.575: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to up
Sep 27 01:28:06.587: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 27 01:28:31.825: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:28:37.510: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
